a,b,,a,b,,a,b,,a,b,,a,b,,a,b,,a,b
0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
0,0,,0,0,,0,100,,0,0,,0,0,,0,0,,0,100
0,0,,0,0,,0,100,,0,0,,0,0,,0,0,,0,85
0,0,,0,0,,0,100,,0,0,,0,100,,0,0,,0,96.6667
0,0,,0,0,,0,100,,0,0,,0,100,,0,0,,0,97.5
0,74,,0,4,,0,100,,100,84,,0,100,,0,14,,0,98
0,66.6667,,0,70,,0,100,,100,70,,0,100,,0,13.3333,,98.3333,98.3333
0,94.2857,,0,60,,0,100,,100,75.7143,,0,100,,0,55.7143,,98.5714,98.5714
0,95,,0,52.5,,2.5,100,,100,93.75,,97.5,100,,35,48.75,,98.75,98.75
0,84.4444,,0,46.6667,,3.33333,100,,100,94.4444,,97.7778,100,,43.3333,63.3333,,98.8889,98.8889
0,95,,0,42,,3,100,,100,95,,98,100,,54,57,,98,99
0,95.4545,,0,91.8182,,53.6364,100,,100,95.4545,,98.1818,100,,49.0909,51.8182,,98.1818,99.0909
0,95.8333,,0,84.1667,,57.5,100,,100,100,,98.3333,100,,45,47.5,,98.3333,99.1667
0,96.1538,,0,95.3846,,60.7692,100,,100,100,,98.4615,100,,55.3846,65.3846,,98.4615,99.2308
0,96.4286,,0,95.7143,,63.5714,100,,100,100,,98.5714,100,,57.8571,84.2857,,98.5714,99.2857
0,90,,0,96,,66,100,,100,100,,98.6667,100,,69.3333,78.6667,,98.6667,99.3333
0,84.375,,0,90,,66.875,93.75,,100,100,,98.75,100,,65.625,88.75,,98.75,99.375
0,79.4118,,0,89.4118,,68.8235,99.4118,,100,100,,98.8235,100,,65.8824,89.4118,,98.8235,99.4118
5,81.1111,,0,89.4444,,70.5556,99.4444,,100,100,,98.8889,100,,62.2222,89.4444,,98.8889,99.4444
10,93.6842,,0,84.7368,,71.5789,98.9474,,100,100,,98.9474,100,,70,90,,98.9474,99.4737
18,89,,0.5,80.5,,73,99,,100,100,,99,100,,71.5,90.5,,99,99.5
17.1429,93.8095,,17.619,76.6667,,74.2857,99.0476,,100,100,,99.0476,100,,72.8571,90.9524,,99.0476,99.5238
16.3636,94.0909,,16.8182,73.1818,,75.4545,99.0909,,100,100,,99.0909,100,,74.0909,91.3636,,98.6364,95
15.6522,94.3478,,16.087,70.4348,,76.5217,99.1304,,100,100,,99.1304,100,,75.2174,91.7391,,98.6957,99.1304
15,94.5833,,15.4167,95,,77.5,99.1667,,100,100,,99.1667,100,,76.25,92.0833,,98.75,99.1667
14.4,92.8,,14.8,95.2,,78.4,95.2,,100,100,,99.2,100,,77.2,92.4,,98.8,99.2
13.8462,89.2308,,14.2308,95.3846,,78.8462,91.5385,,100,100,,99.2308,100,,78.0769,92.3077,,98.4615,99.2308
13.3333,85.9259,,13.7037,95.5556,,79.6296,88.8889,,100,100,,99.2593,100,,78.8889,92.5926,,98.5185,99.2593
38.5714,82.8571,,13.2143,95.7143,,80.3571,85.7143,,100,100,,99.2857,100,,76.0714,92.8571,,95,98.9286
42.069,82.4138,,12.7586,95.8621,,81.0345,89.6552,,100,100,,99.3103,100,,75.1724,93.1034,,91.7241,98.9655
40.6667,79.6667,,12.3333,96,,81.6667,90,,100,100,,99.3333,100,,72.6667,93.3333,,88.6667,99
42.2581,77.0968,,11.9355,96.129,,82.2581,90.3226,,100,100,,99.3548,100,,70.3226,93.5484,,85.8065,95.8065
44.0625,74.6875,,11.5625,93.125,,82.8125,90.625,,100,100,,99.375,100,,68.125,93.75,,83.125,92.8125
45.7576,81.5152,,16.6667,96.0606,,83.3333,90.6061,,100,100,,99.3939,100,,81.8182,93.9394,,80.6061,98.7879
44.4118,83.5294,,17.6471,96.1765,,80.8824,87.9412,,100,100,,99.4118,100,,82.3529,94.1176,,78.2353,98.8235
43.1429,81.1429,,20,96.2857,,78.5714,86.5714,,100,100,,99.4286,100,,82.8571,94.2857,,92.5714,98.8571
44.1667,84.1667,,22.2222,96.3889,,76.3889,84.1667,,100,100,,99.4444,100,,83.3333,94.4444,,91.6667,98.8889
45.6757,84.3243,,24.3243,93.7838,,74.3243,82.1622,,100,100,,99.4595,100,,83.5135,94.5946,,96.2162,98.9189
47.1053,84.4737,,26.3158,95.2632,,72.3684,81.5789,,100,100,,99.4737,100,,83.9474,94.7368,,96.3158,98.9474
48.4615,84.8718,,28.2051,93.0769,,71.2821,79.4872,,100,100,,99.4872,100,,84.359,94.8718,,96.4103,98.9744
49.75,85.25,,30,94,,81.5,77.5,,100,100,,99.5,100,,82.25,95,,96.5,99
50.9756,85.6098,,31.7073,94.3902,,79.5122,75.6098,,100,100,,99.5122,100,,80.2439,95.122,,96.5854,99.0244
51.9048,85.9524,,33.3333,92.1429,,77.619,74.7619,,100,100,,99.5238,100,,78.3333,95,,96.4286,98.8095
50.6977,86.2791,,34.8837,96.2791,,75.814,73.2558,,100,100,,99.5349,100,,76.5116,95.1163,,96.5116,98.8372
51.1364,86.5909,,36.3636,96.3636,,74.0909,83.8636,,99.7727,97.7273,,99.5455,100,,74.7727,95.2273,,96.5909,98.8636
51.1111,86.8889,,37.5556,96.4444,,72.4444,82,,99.7778,99.7778,,99.5556,100,,73.1111,95.3333,,94.4444,96.6667
53.0435,87.1739,,38.913,96.5217,,70.8696,84.3478,,99.7826,99.7826,,99.5652,100,,71.5217,95.4348,,96.5217,94.5652
54.4681,87.4468,,40.2128,96.5957,,69.7872,84.6809,,99.7872,99.7872,,97.4468,98.2979,,70,95.5319,,96.5957,98.2979
55.4167,87.7083,,41.4583,96.6667,,69.7917,85,,97.7083,97.7083,,99.375,99.7917,,68.5417,93.5417,,96.6667,97.2917
56.3265,87.9592,,42.6531,96.7347,,68.3673,85.3061,,99.5918,95.7143,,99.3878,99.7959,,67.1429,95.5102,,96.7347,97.3469
57.2,88.2,,43.8,96.8,,67,85.6,,99.4,97.6,,99.4,99.8,,65.8,95.6,,94.8,95.4
58.0392,88.4314,,44.902,96.8627,,65.6863,85.8824,,99.4118,99.4118,,99.2157,99.8039,,64.5098,95.6863,,92.9412,97.2549
57.6923,88.6538,,45.9615,96.9231,,64.4231,86.1538,,99.4231,99.2308,,99.0385,97.8846,,66.9231,95.7692,,91.1538,97.3077
57.1698,88.8679,,46.9811,96.9811,,63.2075,84.5283,,97.5472,99.2453,,98.8679,96.0377,,67.3585,95.8491,,91.3208,97.3585
60.1852,89.0741,,47.963,97.037,,62.037,83.5185,,99.0741,99.2593,,98.7037,99.6296,,67.963,95.9259,,89.6296,97.4074
60.9091,89.2727,,48.9091,96.9091,,60.9091,84,,99.0909,99.2727,,98.7273,99.6364,,68.5455,94.1818,,88,97.4545
61.6071,89.4643,,48.0357,96.9643,,61.4286,86.4286,,99.1071,99.2857,,98.75,99.6429,,69.1071,92.5,,86.4286,97.5
62.1053,89.6491,,49.4737,97.0175,,62.1053,84.9123,,99.1228,97.5439,,98.7719,99.6491,,69.6491,95.9649,,84.9123,97.5439
62.7586,89.8276,,48.6207,97.069,,62.7586,86.7241,,99.1379,99.1379,,98.6207,99.6552,,70.1724,96.0345,,83.4483,97.5862
63.3898,90,,52.2034,95.4237,,63.3898,86.9492,,97.4576,97.4576,,98.4746,99.661,,70.678,96.1017,,82.0339,97.6271
64,90.1667,,53,94.5,,64,87.1667,,95.8333,99,,96.8333,99.6667,,71.1667,96.1667,,82.1667,97.6667
64.5902,90.3279,,53.7705,97.0492,,64.5902,87.377,,94.2623,99.0164,,95.2459,99.5082,,71.6393,96.2295,,82.459,97.7049
65.1613,90.4839,,54.5161,97.0968,,65.1613,87.5806,,92.7419,99.0323,,98.3871,99.5161,,72.0968,96.2903,,82.7419,97.7419
65.7143,90.6349,,55.2381,95.5556,,64.127,86.1905,,91.2698,99.0476,,96.8254,99.5238,,72.5397,96.3492,,83.0159,97.7778
66.25,90.7812,,55.9375,97.0312,,66.0938,84.8438,,89.8438,97.5,,95.3125,99.5312,,72.9688,96.4062,,83.2812,97.8125
66.7692,90.9231,,56.6154,97.0769,,66.6154,83.5385,,88.4615,96,,93.8462,99.5385,,73.3846,96.4615,,83.5385,97.8462
67.2727,89.5455,,55.7576,97.1212,,67.1212,83.6364,,87.1212,94.5455,,92.4242,99.5455,,72.2727,95,,83.6364,97.8788
67.6119,91.0448,,57.3134,97.1642,,67.6119,83.8806,,85.8209,93.1343,,91.0448,99.5522,,74.0299,94.9254,,83.8806,97.9104
68.0882,91.1765,,58.2353,97.2059,,68.0882,84.1176,,84.5588,96.0294,,89.7059,99.4118,,72.9412,95.7353,,84.1176,97.9412
68.5507,91.3043,,58.8406,97.2464,,68.5507,84.3478,,83.3333,96.087,,88.4058,99.4203,,72.7536,95.5072,,84.3478,97.971
