Mode,Density,Speed,Node_ID,RERR_Count,Transmit_Count,RERR_Rate
기존,고밀도,고속,0,110,10790,1.0194624652455977
기존,고밀도,고속,4,27,4008,0.6736526946107785
기존,고밀도,고속,6,44,4039,1.0893785590492695
기존,고밀도,고속,7,31,5812,0.5333792154163799
기존,고밀도,고속,9,292,9733,3.0001027432446317
기존,고밀도,고속,10,75,8146,0.9206972747360667
기존,고밀도,고속,11,83,7736,1.0729058945191314
기존,고밀도,고속,17,282,15513,1.8178302069232255
기존,고밀도,고속,19,274,11941,2.294615191357508
기존,고밀도,고속,20,207,8126,2.547378784149643
기존,고밀도,중속,0,142,11743,1.2092310312526613
기존,고밀도,중속,4,34,6749,0.5037783375314862
기존,고밀도,중속,6,59,6340,0.9305993690851735
기존,고밀도,중속,7,9,3603,0.2497918401332223
기존,고밀도,중속,9,460,19309,2.3823087679320523
기존,고밀도,중속,10,40,4815,0.8307372793354102
기존,고밀도,중속,11,65,6932,0.9376803231390652
기존,고밀도,중속,17,149,11516,1.2938520319555402
기존,고밀도,중속,19,289,17612,1.6409266409266408
기존,고밀도,중속,20,26,6392,0.4067584480600751
기존,고밀도,저속,0,173,10600,1.632075471698113
기존,고밀도,저속,4,14,6060,0.23102310231023102
기존,고밀도,저속,6,136,14134,0.9622187632658837
기존,고밀도,저속,7,2,2843,0.07034822370735139
기존,고밀도,저속,9,358,20652,1.7334882820065856
기존,고밀도,저속,10,3,4844,0.061932287365813375
기존,고밀도,저속,11,11,4984,0.22070626003210272
기존,고밀도,저속,17,18,6500,0.2769230769230769
기존,고밀도,저속,19,264,21814,1.2102319611258825
기존,고밀도,저속,20,8,5356,0.14936519790888725
기존,중밀도,고속,6,67,7029,0.9531939109403899
기존,중밀도,고속,7,16,3149,0.5080978088281994
기존,중밀도,고속,17,117,8477,1.3802052612952695
기존,중밀도,고속,18,39,5224,0.7465543644716692
기존,중밀도,고속,21,95,8185,1.1606597434331094
기존,중밀도,고속,22,63,6907,0.9121181410163601
기존,중밀도,고속,24,28,4677,0.5986743639084883
기존,중밀도,고속,26,115,6427,1.789326279757274
기존,중밀도,고속,27,68,7274,0.9348364036293648
기존,중밀도,고속,29,106,7967,1.3304882640893685
기존,중밀도,중속,6,37,6997,0.5287980563098471
기존,중밀도,중속,7,3,2138,0.1403180542563143
기존,중밀도,중속,17,68,7070,0.9618104667609617
기존,중밀도,중속,18,15,3719,0.4033342296316214
기존,중밀도,중속,21,66,8602,0.7672634271099744
기존,중밀도,중속,22,52,7025,0.7402135231316725
기존,중밀도,중속,24,168,9685,1.7346411977284462
기존,중밀도,중속,26,61,5403,1.1290024060707016
기존,중밀도,중속,27,413,15312,2.697230929989551
기존,중밀도,중속,29,52,5320,0.9774436090225564
기존,중밀도,저속,6,100,9806,1.0197838058331634
기존,중밀도,저속,17,4,3145,0.1271860095389507
기존,중밀도,저속,18,6,3824,0.15690376569037656
기존,중밀도,저속,21,82,12480,0.657051282051282
기존,중밀도,저속,22,62,10151,0.6107772633238104
기존,중밀도,저속,24,5,4593,0.10886131069018071
기존,중밀도,저속,26,47,7974,0.5894156007022824
기존,중밀도,저속,27,263,18780,1.4004259850905219
기존,중밀도,저속,29,25,9373,0.2667235676944415
기존,저밀도,고속,6,47,6294,0.7467429297743883
기존,저밀도,고속,7,8,2681,0.29839612085042894
기존,저밀도,고속,17,97,8384,1.1569656488549618
기존,저밀도,고속,18,78,6680,1.1676646706586826
기존,저밀도,고속,19,108,10181,1.060799528533543
기존,저밀도,고속,21,102,10435,0.97747963584092
기존,저밀도,고속,22,23,4531,0.5076142131979695
기존,저밀도,고속,24,108,7510,1.4380825565912116
기존,저밀도,고속,25,101,9157,1.1029813257617123
기존,저밀도,고속,26,228,10988,2.074990899162723
기존,저밀도,중속,6,18,6594,0.27297543221110104
기존,저밀도,중속,7,1,2050,0.04878048780487805
기존,저밀도,중속,17,64,7070,0.9052333804809052
기존,저밀도,중속,18,11,4636,0.2372735116479724
기존,저밀도,중속,19,220,12188,1.8050541516245486
기존,저밀도,중속,21,53,7405,0.7157326130992573
기존,저밀도,중속,22,13,6706,0.1938562481359976
기존,저밀도,중속,24,73,6619,1.1028856322707357
기존,저밀도,중속,25,48,7975,0.6018808777429466
기존,저밀도,중속,26,249,12622,1.972745999049279
기존,저밀도,저속,6,39,10283,0.37926675094816686
기존,저밀도,저속,17,5,3037,0.16463615409944024
기존,저밀도,저속,18,8,3266,0.2449479485609308
기존,저밀도,저속,19,87,11788,0.7380386834068544
기존,저밀도,저속,21,173,12055,1.4350891746163417
기존,저밀도,저속,22,30,9268,0.32369443245576174
기존,저밀도,저속,24,4,4434,0.09021199819576003
기존,저밀도,저속,25,28,7447,0.3759903316771855
기존,저밀도,저속,26,87,7949,1.0944772927412254
제안,고밀도,고속,0,108,9718,1.111339781848117
제안,고밀도,고속,4,25,5119,0.4883766360617308
제안,고밀도,고속,6,50,7256,0.6890848952590959
제안,고밀도,고속,7,33,5034,0.6555423122765197
제안,고밀도,고속,9,314,16667,1.883962320753585
제안,고밀도,고속,10,87,9110,0.9549945115257958
제안,고밀도,고속,11,87,9110,0.9549945115257958
제안,고밀도,고속,17,277,12785,2.1666014861165426
제안,고밀도,고속,19,274,11941,2.294615191357508
제안,고밀도,고속,20,111,9026,1.229780633724795
제안,고밀도,중속,0,115,10548,1.0902540766021995
제안,고밀도,중속,4,39,6848,0.5695093457943925
제안,고밀도,중속,6,114,11077,1.0291595197255576
제안,고밀도,중속,7,10,3388,0.29515938606847697
제안,고밀도,중속,9,479,18917,2.5321139715599723
제안,고밀도,중속,10,108,6978,1.5477214101461736
제안,고밀도,중속,11,101,8384,1.2046755725190839
제안,고밀도,중속,17,185,11841,1.5623680432395912
제안,고밀도,중속,19,365,19442,1.8773788704865755
제안,고밀도,중속,20,47,7597,0.6186652626036593
제안,고밀도,저속,0,307,14526,2.1134517417045298
제안,고밀도,저속,4,20,5786,0.3456619426201175
제안,고밀도,저속,6,173,15117,1.144406959052722
제안,고밀도,저속,7,2,2851,0.07015082427218519
제안,고밀도,저속,9,501,22684,2.208605184270852
제안,고밀도,저속,10,4,4481,0.08926578888640928
제안,고밀도,저속,11,3,5534,0.054210336104083844
제안,고밀도,저속,17,6,6168,0.09727626459143969
제안,고밀도,저속,19,443,23917,1.852238993184764
제안,고밀도,저속,20,7,4636,0.15099223468507333
제안,중밀도,고속,6,95,6662,1.4259981987391175
제안,중밀도,고속,7,9,2810,0.3202846975088968
제안,중밀도,고속,17,88,6966,1.2632787826586276
제안,중밀도,고속,18,51,5478,0.9309967141292442
제안,중밀도,고속,21,63,7925,0.7949526813880127
제안,중밀도,고속,22,42,5042,0.8330027766759223
제안,중밀도,고속,24,130,10744,1.2099776619508562
제안,중밀도,고속,26,93,9634,0.9653311189537056
제안,중밀도,고속,27,171,11808,1.4481707317073171
제안,중밀도,고속,29,41,8002,0.5123719070232442
제안,중밀도,중속,6,35,6813,0.5137237633935124
제안,중밀도,중속,7,4,2138,0.18709073900841908
제안,중밀도,중속,17,138,8724,1.5818431911966988
제안,중밀도,중속,18,51,5129,0.9943458763891596
제안,중밀도,중속,21,154,11579,1.3299939545729338
제안,중밀도,중속,22,21,5724,0.3668763102725367
제안,중밀도,중속,24,84,7177,1.1704054618921556
제안,중밀도,중속,26,87,10202,0.8527739658890414
제안,중밀도,중속,27,330,15390,2.144249512670565
제안,중밀도,중속,29,51,6585,0.7744874715261959
제안,중밀도,저속,6,20,9644,0.2073828287017835
제안,중밀도,저속,17,1,3367,0.029700029700029697
제안,중밀도,저속,18,5,3833,0.1304461257500652
제안,중밀도,저속,21,196,13432,1.4592019058963668
제안,중밀도,저속,22,31,8262,0.3752118131203098
제안,중밀도,저속,24,7,4729,0.148022837809262
제안,중밀도,저속,26,67,8374,0.80009553379508
제안,중밀도,저속,27,288,15783,1.8247481467401634
제안,중밀도,저속,29,46,8929,0.5151752715869639
제안,저밀도,고속,6,51,6291,0.8106819265617549
제안,저밀도,고속,7,7,3022,0.2316346790205162
제안,저밀도,고속,17,113,9183,1.2305346836545792
제안,저밀도,고속,18,73,7351,0.9930621684124609
제안,저밀도,고속,19,108,9718,1.111339781848117
제안,저밀도,고속,21,118,9191,1.2838646502012838
제안,저밀도,고속,22,30,4323,0.6939625260235947
제안,저밀도,고속,24,101,10165,0.9936055090998523
제안,저밀도,고속,25,151,10158,1.4865130931285686
제안,저밀도,고속,26,477,24073,1.9814730195654884
제안,저밀도,중속,6,44,6973,0.6310053061809838
제안,저밀도,중속,7,1,2026,0.04935834155972359
제안,저밀도,중속,17,74,6721,1.1010266329415266
제안,저밀도,중속,18,22,4628,0.47536732929991354
제안,저밀도,중속,19,115,11949,0.9624236337768851
제안,저밀도,중속,21,65,8043,0.8081561606365784
제안,저밀도,중속,22,41,8195,0.5003050640634533
제안,저밀도,중속,24,82,7674,1.0685431326557204
제안,저밀도,중속,25,68,9072,0.7495590828924161
제안,저밀도,중속,26,206,10980,1.8761384335154827
제안,저밀도,저속,6,60,10314,0.5817335660267597
제안,저밀도,저속,17,4,3510,0.11396011396011395
제안,저밀도,저속,18,6,3187,0.1882648258550361
제안,저밀도,저속,19,67,11445,0.5854084753167321
제안,저밀도,저속,21,112,13027,0.8597528210639441
제안,저밀도,저속,22,34,8729,0.38950624355596286
제안,저밀도,저속,24,8,4799,0.16670139612419255
제안,저밀도,저속,25,15,7077,0.21195421788893598
제안,저밀도,저속,26,32,8079,0.39608862482980567
